Категорія: Усі категорії

Тиждень,Angular: (Увесь світ),React: (Увесь світ),Vue: (Увесь світ)
2023-01-29,40,97,60
2023-02-05,40,96,56
2023-02-12,42,95,64
2023-02-19,40,94,57
2023-02-26,39,94,58
2023-03-05,38,95,56
2023-03-12,38,97,56
2023-03-19,39,98,57
2023-03-26,38,89,55
2023-04-02,35,83,61
2023-04-09,35,85,62
2023-04-16,37,83,51
2023-04-23,35,85,52
2023-04-30,34,80,57
2023-05-07,36,90,52
2023-05-14,35,88,50
2023-05-21,34,91,51
2023-05-28,33,89,58
2023-06-04,34,85,53
2023-06-11,35,87,50
2023-06-18,34,85,50
2023-06-25,34,86,54
2023-07-02,33,84,55
2023-07-09,36,90,65
2023-07-16,35,86,78
2023-07-23,35,87,88
2023-07-30,35,86,81
2023-08-06,37,84,66
2023-08-13,31,85,63
2023-08-20,34,87,55
2023-08-27,33,80,61
2023-09-03,33,79,51
2023-09-10,33,82,52
2023-09-17,32,81,52
2023-09-24,33,80,53
2023-10-01,31,81,53
2023-10-08,33,84,55
2023-10-15,33,81,60
2023-10-22,33,80,61
2023-10-29,30,78,53
2023-11-05,34,77,50
2023-11-12,31,76,50
2023-11-19,31,82,50
2023-11-26,31,77,53
2023-12-03,30,78,53
2023-12-10,31,79,51
2023-12-17,31,81,54
2023-12-24,21,62,57
2023-12-31,26,71,58
2024-01-07,33,85,53
2024-01-14,32,87,54
2024-01-21,34,81,57
2024-01-28,37,93,59
2024-02-04,39,92,59
2024-02-11,36,87,69
2024-02-18,36,93,64
2024-02-25,36,91,60
2024-03-03,37,86,56
2024-03-10,37,91,56
2024-03-17,37,89,56
2024-03-24,33,86,64
2024-03-31,33,90,61
2024-04-07,33,94,60
2024-04-14,35,96,55
2024-04-21,35,95,54
2024-04-28,31,91,55
2024-05-05,33,90,53
2024-05-12,33,95,52
2024-05-19,34,92,55
2024-05-26,34,87,61
2024-06-02,33,89,52
2024-06-09,32,88,54
2024-06-16,31,83,55
2024-06-23,31,84,51
2024-06-30,30,82,53
2024-07-07,33,91,57
2024-07-14,31,89,58
2024-07-21,32,88,70
2024-07-28,30,84,61
2024-08-04,30,81,64
2024-08-11,27,82,65
2024-08-18,29,84,64
2024-08-25,30,83,62
2024-09-01,28,84,55
2024-09-08,30,82,57
2024-09-15,29,78,51
2024-09-22,29,78,53
2024-09-29,27,75,50
2024-10-06,27,78,50
2024-10-13,29,78,50
2024-10-20,29,81,53
2024-10-27,24,74,57
2024-11-03,26,74,53
2024-11-10,28,79,56
2024-11-17,29,82,59
2024-11-24,29,79,63
2024-12-01,26,84,56
2024-12-08,27,79,52
2024-12-15,26,78,54
2024-12-22,17,63,57
2024-12-29,17,61,63
2025-01-05,25,76,57
2025-01-12,25,77,54
2025-01-19,25,81,52
2025-01-26,28,76,52
2025-02-02,27,81,51
2025-02-09,27,79,58
2025-02-16,27,83,61
2025-02-23,26,77,52
2025-03-02,26,80,47
2025-03-09,24,71,47
2025-03-16,25,76,46
2025-03-23,24,82,49
2025-03-30,23,69,53
2025-04-06,24,72,53
2025-04-13,20,67,54
2025-04-20,21,63,51
2025-04-27,19,62,49
2025-05-04,20,63,49
2025-05-11,21,67,46
2025-05-18,21,63,54
2025-05-25,20,63,60
2025-06-01,21,64,51
2025-06-08,22,67,50
2025-06-15,23,68,46
2025-06-22,20,73,50
2025-06-29,21,66,49
2025-07-06,20,64,49
2025-07-13,20,66,54
2025-07-20,20,67,60
2025-07-27,21,71,56
2025-08-03,23,80,56
2025-08-10,24,87,56
2025-08-17,20,67,55
2025-08-24,18,60,48
